Waco_12B_1,4,0,DAVID,Dont touch it Dont touch it because its you know someone was touching the cord and its jittery
Waco_12B_1,5,0,HENRY,Oh okay
Waco_12B_1,6,0,DAVID,So that what I do is I I always teach with questions
Waco_12B_1,7,0,HENRY,Okay
Waco_12B_1,8,0,DAVID,So I I teach my students I say now look I cant save you you know I am not anything as far as you can see any different from what you can see you know
Waco_12B_1,9,0,HENRY,Um hum
Waco_12B_1,10,0,DAVID,We are not to worship men So Ill tell them look this is a Ill make them read the revelation of who who gave it to him what reason Then when I take them throughout the revelation their eyes are seeing the book Their mind is developing pictures so that when we get into the part of the seals they see very clearly the scripture teaches that none but the lamb can reveal these things And I go now wait Right here the lamb reveals it He reveals the first seal is a man on a white horse
Waco_12B_1,11,0,HENRY,Um hum
Waco_12B_1,12,0,DAVID,Now you know whats so hard about understanding that Apparently it seems like hes going to war Seems like Christ is not only a savior hes a destroyer Conquering and conquering Except we cant speculate can we Of course they agree with me I says now we shouldnt add our opinions Because we really dont know the details of this I says look here at the second seal They are given a great sword that they should kill one another I said now why how does that reveal Jesus You know Christ doesnt teach to kill one another You know he teaches love and turn the cheek doesnt he
Waco_12B_1,13,0,HENRY,Um hum
Waco_12B_1,14,0,DAVID,So we cant speculate here
Waco_12B_1,15,0,HENRY,Um hum
Waco_12B_1,16,0,DAVID,So then when we get to chapter 10 after we begin to read throughout the seven seals the trumpets start in the seventh seal My students are brought to the attention of very strange and weird symbols or omens which again speculation is not the facts
Waco_12B_1,17,0,HENRY,Um hum
Waco_12B_1,18,0,DAVID,Now we get to chapter 10 we see that sometime during the sixth trumpet John records and I saw another mighty angel sent from heaven clothed with a cloud and as faded as it were the sun You know and his feet as pillars of fire Stood up on the earth and sea had his little handbook opened And he cries and a lion roareth When he had cried seven thunders uttered their voices Now again we dont know what this is all about All we know is that the only thunders we know about is in Gods throne the lightning thunders and voices We know when the lamb opens the first seal there is the first thunder But it says John is told to seal those things and write them not But John was told that the mighty angel swore by the God that created all things when theres time no longer this mystery of God will be finished So see my students begin to think about those things What is this mystery of the the little book thats opened Whats this mystery of the the revelation of Jesus Christ And of course the last chapter when we learn about the river of the water of life we know that Christ is the Lord God of the holy prophets You know Christ is the one who from the beginning of time spake into the prophets because he is the word of God
Waco_12B_1,19,0,HENRY,Um hum
Waco_12B_1,20,0,DAVID,Made angel or hes the word of God made flesh It depends on what the will of the Father really is But the keynote is he promised he says I sent my angel And he says I come upwards with me So then at that point my students begin to realize that the coming of Christ has something to do with a message a message that only he can reveal
Waco_12B_1,21,0,HENRY,Um hum
Waco_12B_1,22,0,DAVID,So then I ask them well would you like to learn the seven seals Now of course they look at me real funny then dont they
Waco_12B_1,23,0,HENRY,Um hum
