Rogan_beta,4,0,PN60,Im not gonna hurt ya We oughta handle this thing Why dontyou think about what he said
Rogan_beta,5,0,HT01,Well I tell him I was gonna turn it i turn it over when I got got ready
Rogan_beta,6,0,PN60,Got ready huh
Rogan_beta,7,0,HT01,I just aint ready to get locked up yet
Rogan_beta,8,0,PN60,Hmm
Rogan_beta,9,0,PN60,We never are are we
Rogan_beta,10,0,HT01,Huh uh
Rogan_beta,11,0,PN60,But tah
Rogan_beta,12,0,HT01,Why why dont you roll me up a couple of joints got out of that dope you got off my old lady and send em over
Rogan_beta,13,0,PN60,Roll up a couple what Joints What does she have some marijuana
Rogan_beta,14,0,HT01,Ya she did have youall took it away from her
Rogan_beta,15,0,PN60,Did she
Rogan_beta,16,0,HT01,Hell I dont even know if I got that Must have been some
Rogan_beta,17,0,PN60,No wait the deputy that arrested them must have that
Rogan_beta,18,0,HT01,Well dont let him smoke it cause its some good stuff
Rogan_beta,19,0,PN60,It is huh
Rogan_beta,20,0,HT01,Uh huh
Rogan_beta,21,0,PN60,Mmmm
Rogan_beta,22,0,HT01,[Laughs]
Rogan_beta,23,0,PN60,Well anyway
Rogan_beta,24,0,HT01,Ill come out when I get ready Im just sitting here were having a little bullshit session
Rogan_beta,25,0,PN60,Well <ON80> is over here now
Rogan_beta,26,0,HT01,Ya is she
Rogan_beta,27,0,PN60,Ya You want to talk to her
Rogan_beta,28,0,HT01,Ya let me talk to her see what shes doing
Rogan_beta,29,0,PN60,ngK
Rogan_beta,30,0,ON80,Hi
Rogan_beta,31,0,HT01,Hey girl what are you doin
Rogan_beta,32,0,ON80,Im fine How are you
Rogan_beta,33,0,HT01,Well pretty good
Rogan_beta,34,0,ON80,You doin ok
Rogan_beta,35,0,HT01,Ya Im smoking cigarettes and drinking coffee
Rogan_beta,36,3,ON80,Why dont you um come on out before it gets worse <HT01>
Rogan_beta,37,0,HT01,Aw come out before it gets worse
Rogan_beta,38,3,ON80,No come on and do it now lets just get it over with You know
Rogan_beta,39,0,HT01,I aint ready yet <ON80>
Rogan_beta,40,0,ON80,Why
Rogan_beta,41,0,HT01,Aw I just aint
Rogan_beta,42,0,ON80,Well uh
Rogan_beta,43,0,HT01,That talk dont Ive got you to take care of
Rogan_beta,44,0,ON80,Well dont worry about me you know
Rogan_beta,45,0,HT01,Uh huh Well I do I like you pretty good girl
Rogan_beta,46,3,ON80,[Laughs] Ya and Im worried about you right now Why dont you come on out before somebody gets hurt We dont want anybody hurt today
Rogan_beta,47,0,HT01,Momma Im aint gonna hurt nobody
Rogan_beta,48,1,ON80,Well I know that but its just easier if you just come out now and you know just kind of
Rogan_beta,49,0,HT01,[Laughs]
Rogan_beta,50,1,ON80,thow it in the wind you know Youre just making it worse on yourself
Rogan_beta,51,0,HT01,Uh hun I couldnt get it no worse on me little darling
Rogan_beta,52,1,ON80,Yes you could if you just volunteer to come out <HT01> it would be better
Rogan_beta,53,0,HT01,Mm hm
Rogan_beta,54,1,ON80,Honest it will
Rogan_beta,55,0,HT01,Yah
Rogan_beta,56,1,ON80,The more you fight it the worse trouble there is
Rogan_beta,57,0,HT01,Well Ill come out after awhile I aint I aint got all the coffee drank yet baby
Rogan_beta,58,3,ON80,Come on out and Ill help you
