,PERSUASION TAGS,,,,,,,,Total Persuasive,151,84
,,,,,,,,,,Persasive?,
Post,OTHER,RECIPROCITY,COMMITMENT,CONSITENCY,LIKING,SCARCITY,AUTHORITY,SOCIAL PROOF,Additional Comments,W/ Other,W/o Other
"00001 HT1: No, I don't wanna hear that",,,,,,,,,,0,0
00002 PN1: OK.,,,,,,,,,,0,0
00003 HT1: don't give me that hear?,,,,,,,,,,0,0
00004 PNI: OK.,,,,,,,,,,0,0
"00005 HT1: All I want is, bring my wife and <News Reporter's Name>, you hear?",,,,,,,,,,0,0
00006 PN1: <News Reporter's First Name>?,,,,,,,,,,0,0
00007 HT1: <News Reporter's Last Name>.,,,,,,,,,,0,0
00008 PN1: <News Reporter's Last Name>?,,,,,,,,,,0,0
00009 HTI: Yah.,,,,,,,,,,0,0
00010 PNI: Who's <News Reporter's Name>?,,,,,,,,,,0,0
"00011 HT1: You know who <News Reporter's Name> is, the news reporter.",,,,,,,,,,0,0
00012 PN1: The news reporter?,,,,,,,,,,0,0
00013 HT1: Yah.,,,,,,,,,,0,0
"00014 PN1: OK, and your wife, can you tell me where she is? Do you know where she is right now? Is she at work-a telephone number I can reach her at?",,,,,,,,,,0,0
00015 HTI: You wanna know where my wife is?,,,,,,,,,,0,0
"00016 PN1: Yes, do you know where she is, that I can, can reach her at?",,,,,,,,,,0,0
"00017 HT1: You know what? If you don't leave me alone with this old fool stuff ya all up there messin' with me. Leave me alone, hear. Leave me alone. Just get <News Reporter's Name> and my wife. My wife is at <address>. Hear.",,,,,,,,,,0,0
00018 PNI:<address>?,,,,,,,,,,0,0
00019 HT1: Yah.,,,,,,,,,,0,0
00020 PNI: Does she have a phone number?,,,,,,,,,,0,0
"00021 HT1: NO. She don't have a phone, but you know what?",,,,,,,,,,0,0
00022 PNI: Go ahead.,,,,,,,,,,0,0
00023 HT1: (?) they already have her.,,,,,,,,,,0,0
"00024 PNI: No sir, I don't.",,,,,,,,,,0,0
00025 HT1: But they got her.,,,,,,,,,,0,0
"00026 PN1: I don't know who has her. I work on that though to get her to talk to you on the phone, if I can, OK. ",,,,,,,,,,0,0
"00027 HT1: Second district, hear? They got her.",,,,,,,,,,0,0
00028 PNI: Second district has her?,,,,,,,,,,0,0
00029 HT1: Yah.,,,,,,,,,,0,0
00030 PNI: How' come they have her?,,,,,,,,,,0,0
00031 HT1: 'Cause she is the one who called. How'd you know about all this?,,,,,,,,,,0,0
00032 PN1: Second district or seventh district?,,,,,,,,,,0,0
"00033 HT1: Seventh, the seventh.",,,,,,,,,,0,0
00034 PNI: Seventh district.,,,,,,,,,,0,0
"00035 HT1: You know what? If you wanna put anybody on this line, you know what you get? You hear me?",,,,,,,,,,0,0
"00036 PNI: Yah, I'm listening.",,,,,,,,,,0,0
"00037 HT1: Get Sgt. <Last Name> down in narcotics, you hear. Have him call me hear?",,,,,,,,,,0,0
00038 PNI: Sgt. <Last Name>?,,,,,,,,,,0,0
00039 HT1: Yah.,,,,,,,,,,0,0
"00040 PN1: OK, and he's in narcotics, you say?",,,,,,,,,,0,0
"00041 HT1: Yah, Have him call me, hear?",,,,,,,,,,0,0
00042 PN1: OK.,,,,,,,,,,0,0
00043 HT1: Alright?,,,,,,,,,,0,0
00044 PNl: Yep.,,,,,,,,,,0,0
"00045 HT1: If anything, you have him call me.",,,,,,,,,,0,0
"00046 PN1: OK, I'll give ya, it'll take me a little time ro reach him, OK?",,,,,,,,,,0,0
"00047 HT1: Alright, but you know what?",,,,,,,,,,0,0
"00048 PNl: OK, go ahead.",,,,,,,,,,0,0
00049 HT1: You bet not come through this door.,,,,,,,,,,0,0
"00050 PNI: No, we're not going to come through the door. We, we want you to come out through the door.",,,,,,,,,,0,0
00051 HT1: You better not come through the door and none you all better not come in hear. You hear?,,,,,,,,,,0,0
"00052 PNl: Yah. We, we don't want, we don't want nobody getting hurt. That's what it is, you know?",1,,,,,,,,reason,1,0
00053 HT1: I'm telling you.,,,,,,,,,,0,0
00054 PNI: I know you don't want to get hurt and we don't no kids hurt.,1,,,,,,,,reason,1,0
"00055 HT1: I don't want nobody hurt. But you know what? You get Sgt. <Last Name> on the phone too, you hear?",,,,,,,,,,0,0
"00056 PNI: OK. Let me ask you a question, OK?",,,,,,,,,,0,0
00057 HT1: What?,,,,,,,,,,0,0
00058 PNl: You have two kids in there?,,,,,,,,,,0,0
00059 HT1: Yah.,,,,,,,,,,0,0
"00060 PN1: And, somebody said you fired a shot, are the kids alright?",,,,,,,,,,0,0
00061 HT1: You know what?,,,,,,,,,,0,0
"00062 PNI: Go ahead, I'm listening.",,,,,,,,,,0,0
