,PERSUASION TAGS,,,,,,,,Total Persuasive,51,29
,,,,,,,,,,Persasive?,
Posts,OTHER,RECIPROCITY,COMMITMENT,CONSITENCY,LIKING,SCARCITY,AUTHORITY,SOCIAL PROOF,Additional Comments,W/ Other,W/o Other
JIM: Hello? Hello? ,,,,,,,,,,0,0
RACHEL: Hello? Hello? ,,,,,,,,,,0,0
JIM: Hello? ,,,,,,,,,,0,0
RACHEL: Hello? ,,,,,,,,,,0,0
JIM: This is Jim. ,,,,,,,,,,0,0
RACHEL: Okay. ,,,,,,,,,,0,0
JIM: Who's this? ,,,,,,,,,,0,0
RACHEL: This is Rachel. ,,,,,,,,,,0,0
"JIM: Oh, hi, Rachel. ",,,,,,,,,,0,0
RACHEL: Hello. ,,,,,,,,,,0,0
JIM: Is David there? ,,,,,,,,,,0,0
"RACHEL: Yes, he is. ",,,,,,,,,,0,0
JIM: Can I talk to him? ,,,,,,,,,,0,0
"RACHEL: Okay, I'll have to wake him up. ",,,,,,,,,,0,0
JIM: Okay. Go ahead. ,,,,,,,,,,0,0
RACHEL: Jim's on the phone. Jim. ,,,,,,,,,,0,0
DAVID: Jim. ,,,,,,,,,,0,0
"JIM: Hey. David, how you doing? ",,,,,,,,,,0,0
"DAVID: Oh, lots better. ",,,,,,,,,,0,0
"JIM: Man, I know you got some rest. I'm, I'm thrilled about that. ",,,,,,,,,,0,0
"DAVID: Well, I'm getting some. I've been waiting all this morning for the, for the, the message to come across the air. ",,,,,,,,,,0,0
"JIM: Right. Hey, we're getting that worked out. And I think it's going to be a solid go. ",,,,,,,,,,0,0
DAVID: That will be great. ,,,,,,,,,,0,0
"JIM: Yeah, it really is. I talked to Henry and, and he told me what -_",,,,,,,,,,0,0
"DAVID: He's another good guy, you know? ",,,,,,,,,,0,0
JIM: Yeah. ,,,,,,,,,,0,0
DAVID: He's got a good mind on him. ,,,,,,,,,,0,0
"JIM: Yeah, he is a good guy. And we've, we've been dealing with the Christian Broadcast Network. ",,,,,,,,,,0,0
DAVID: Uh-huh. ,,,,,,,,,,0,0
"JIM: And you know, we, we had some initial difficulties about, you know, how long they would play it. But we, we really hung in there and, and stood up --",1,,,,,,,,I'm working for you,1,0
DAVID: Pushed it out. ,,,,,,,,,,0,0
