,PERSUASION TAGS,,,,,,,,Total Persuasive,114,74
,,,,,,,,,,Persasive?,
,OTHER,RECIPROCITY,COMMITMENT,CONSITENCY,LIKING,SCARCITY,AUTHORITY,SOCIAL PROOF,Additional Comments,W/ Other,W/o Other
"0001 ON80: . . . uh, can you pull up about that peak in the, uh, taxiway there and just hold your position?",,,,,,,,,,0,0
0002 CH30: You bet. (pause)  ,,,,,,,,,,0,0
"0003 ON80: Frontier, uh, 101, taxi straight ahead now.  (pause)  ",,,,,,,,,,0,0
0004 CH30: 101 for taxi instructions.  ,,,,,,,,,,0,0
"0005 ON80: Okay, uh, Frontier 101, continue to taxi and, uh, once you get on the ramp area, uh, stand by one.",,,,,,,,,,0,0
"0006 CH30: Okay, we're rolling again. (pause)  ",,,,,,,,,,0,0
0007 PN60: Ground control to 101. ,,,,,,,,,,0,0
0008 CH30: 101.  ,,,,,,,,,,0,0
0009 PN60: This is <PN60>. I understand you have a problem aboard. I'm here to see if I can help.,,,,,,,,,,0,0
"0010 CH30: Okay. We sure do and, uh . . .  ",,,,,,,,,,0,0
0011 HT01: [ ] FBI?  ,,,,,,,,,,0,0
0012 CH30: You the FBI?  ,,,,,,,,,,0,0
0013 PN60: That's affirmative.  ,,,,,,,,,,0,0
"0014 CH30: Okay. At the present time, we're all alone in the cockpit seat. Tell us whatever you want to.",,,,,,,,,,0,0
0015 PN60: 10-4. What's the situation there now?  ,,,,,,,,,,0,0
"0016 CH30: Well, we've landed and taxied up here, and we haven't seen anything . . . (pause) Stand by.  ",,,,,,,,,,0,0
"0017 ON80: Frontier, uh, 101, if able, stop squawk. ",,,,,,,,,,0,0
"0018 CH30: Okay. (pause) . . .-O1, we got the, uh, gentleman up here if anybody wants to talk to him. You wanna talk to any of 'em? ",,,,,,,,,,0,0
"0019 PN60: Ground control, this is <PN60> to the 101 flight. Uh, what are your problems?",,,,,,,,,,0,0
"0020 CH30: Well, there's a man here with a gun, and he wants, uh, previous demands that were stated up there in Kansas City to be met. ",,,,,,,,,,0,0
0021 PN60: Will he talk with us?  ,,,,,,,,,,0,0
"0022 CH30: Yeah, he's listening.",,,,,,,,,,0,0
"0023 PN60: Uh, ask him to repeat the demands to us, please. ",,,,,,,,,,0,0
"0024 CH30: Okay, uh, this is the co-pilot. He told us before, and the demands were this. He wants, uh, a guy named <Prisoner Name> released. He's in the Portland County Jail, and, uh . . .  ",,,,,,,,,,0,0
"0025 PN60: 101, could you put the individual making these requests on, please.  (pause)  ",,,,,,,,,,0,0
"0026 CH30: He said . . . (pause) Yeah, he says he has nothing to say at this time.",,,,,,,,,,0,0
