,PERSUASION TAGS,,,,,,,,Total Persuasive,85,56
,,,,,,,,,,Persasive?,
POST,OTHER,RECIPROCITY,COMMITMENT,CONSITENCY,LIKING,SCARCITY,AUTHORITY,SOCIAL PROOF,Additional Comments,W/ Other,W/o Other
Hostage Taker: HELLO,,,,,,,,,,0,0
Person: YEAH THIS IS <NAME> AGAIN WE ARE TRYING TO GET THE CAR FOR YOU WE ARE TRYING TO GET THE MONEY HOW MUCH TIME HAVE WE GOT ?,,,,,,,,,,0,0
Hostage Taker: YOUVE GOT UNTIL FIVE MINUTES AFTER ONE,,,,,,1,,,timeline,1,1
Person: UNTIL FIVE AFTER ONE ?,,,,,,,,,,0,0
Hostage Taker: RIGHT,,,,,,,,,,0,0
Person: OKAY WHAT ARE YOU GONNA DO IF WE CANT MAKE IT BY FIVE AFTER ONE ?,,,,,,,,,,0,0
Hostage Taker: WELL TRY IT AND FIND OUT,,,,,,,,,,0,0
Person: NO DONT DONT PUT ME ON THAT HELLO ?,,,,,,,,,,0,0
Hostage Taker: HELLO,,,,,,,,,,0,0
Person: YEAH THIS IS <NAME> AGAIN YOU IN THERE BY YOURSELF WITH THAT HOSTAGE OR YOU GOT ANOTHER PARTICIPANT IN THIS ROBBERY ? YOU GOT ANOTHER GUY IN THERE WITH YOU ?,,,,,,,,,,0,0
Hostage Taker: NOPE,,,,,,,,,,0,0
Person: HUH ?,,,,,,,,,,0,0
Hostage Taker: IM IN HERE ALL BY MYSELF,,,,,,,,,,0,0
Person: LET ME TALK TO THE HOSTAGE AGAIN HUH ?,,,,,,,,,,0,0
Hostage Taker: OKAY,,,,,,,,,,0,0
Person: ONLY TAKE A MINUTE,,,,,,,,,,0,0
Hostage Taker: HOLD ON A SECOND,,,,,,,,,,0,0
Person: HEY BEFORE YOU GO YOU STILL THERE ?,,,,,,,,,,0,0
Hostage Taker: HELLO ?,,,,,,,,,,0,0
Person: YEAH ?,,,,,,,,,,0,0
Hostage Taker: YEAH,,,,,,,,,,0,0
