,PERSUASION TAGS,,,,,,,,Total Persuasive,16,15
,,,,,,,,,,Persasive?,
POST,OTHER,RECIPROCITY,COMMITMENT,CONSITENCY,LIKING,SCARCITY,AUTHORITY,SOCIAL PROOF,Additional Comments,W/ Other,W/o Other
Person: DO IS THAT THEYVE AGREED TO TALK TO YOU AND DISCUSS WHATEVER YOU WANNA DISCUSS,,,,,,,,,,0,0
Hostage Taker: OKAY,,,,,,,,,,0,0
Person: WHAT I WANNA DO IS THAT I WANT THE PEOPLE TO COME OFF THE BUS NOW,,,1,,,,,,new deal: let people go now,1,1
Hostage Taker: I TOLD YOU ID LET SEVEN GO THAT WAS THE DEAL SEVEN,,,,1,,,,,remember the old deal,1,1
Person: YEAH,,,,,,,,,,0,0
Hostage Taker: AND THEN AFTER AFTERWARDS WE AL-ALREADY TAKEN CARE OF THE SECOND DEMAND,,,,,,,,,,0,0
Person: WEVE ALREADY TAKEN CARE OF IT IS WHAT IM SAYING,,,,,,,,,,0,0
Hostage Taker: RIGHT RIGHT,,,,,,,,,,0,0
Person: SO WHY DONT WE JUST LET ALL OF THEM COME OFF THE BUS AND <NAME> WILL STAY HERE AND T,,,1,,,,,,new deal: let people go now,1,1
Hostage Taker: BUT A DEALS A DEAL IM LETTIN SEVEN OFF AND THEN ILL LET SEVEN AFTERWARDS OKAY ?,,,,1,,,,,remember the old deal,1,1
Person: SEVEN WHAT ABOUT THE OTHER ONE ?,,,,,,,,,,0,0
Hostage Taker: OKAY ? RIGHT,,,,,,,,,,0,0
Person: IF YOU WOULD LET THEM ALL OFF WED NEED IF YOU WANT THE NATIONAL EXPOSURE THAT YOU WA,1,,2,,,,,,other: reasons to let them go; commitment: let them go,1,1
Hostage Taker: RIGHT RIGHT I UNDERSTAND THAT AND IM GONNA LET SEVEN OFF SO YOU ALL STAND BACK AND S,,,,,,,,,,0,0
Person: AND THEN THEN YOULL LET THE OTHER SEVEN OFF AS SOON AS THEY FINISH THE INTERVIEW,,,1,,,,,,let them go,1,1
Hostage Taker: AS SOON AS THE INTERVIEW IS FINISHED AND EVERYTHING THEN ILL LET THE OTHER SEVEN OFF,,,1,,,,,,I'll let them go after the interview,1,1
Person: THE OTHER IM SORRY THE EIGHT YOUVE GOT 15 ON THERE,,,,,,,,,,0,0
Hostage Taker: EIGHT ALL OF THEM ALL OF THEM,,,,,,,,,,0,0
Person: OKAY,,,,,,,,,,0,0
Hostage Taker: OKAY,,,,,,,,,,0,0
Person: OKAY THERES SEVEN COMING,,,,,,,,,,0,0
Hostage Taker: ALL RIGHT YOU GUYS STAY ON THE,,,,,,,,,,0,0
Person: THAT END OF THE BRIDGE,,,,,,,,,,0,0
Hostage Taker: HOW MANY IS THAT ? IS THAT SIX ?,,,,,,,,,,0,0
Person: SIX RIGHT HERE I NEED ONE MORE,,,,,,,,,,0,0
Hostage Taker: YOU GET WHATEVER YOU NEED TO DO THERE,,,,,,,,,,0,0
Person: DONT GET UP CLOSE BECAUSE WELL,,,,,,,,,,0,0
Hostage Taker: <NAME> IM THE SPIRITUAL SON OF THE LONG AWAITED MESSIAH AND YOU DID A STORY ON HIM P,,,,,,,,,,0,0
Person: WHY DID YOU HAVE TO TAKE HOSTAGES TO DO THIS ?,,,,,,,,,,0,0
Hostage Taker: WELL WE ARE THE TWO WITNESSES SPOKEN OF IN THE ELEVENTH CHAPTER OF THE BOOK OF REVEL,,,,,,,,,,0,0
Person: WHAT SPECIFICALLY ARE YOU WANTING US TO DO ?,,,,,,,,,,0,0
Hostage Taker: WELL I WANT YOU TO PUT THIS NATIONWIDE THAT THE LONG AWAITED MESSIAH IS HERE NOW THE,,,,,,,,,,0,0
Person: WHATS THAT GONNA PROVE ?,,,,,,,,,,0,0
Hostage Taker: WELL THREE AND A HALF DAYS LATER WEVE ALREADY HAD WRITTEN CON-I MEAN CONSENT FROM MY,,,,,,,,,,0,0
Person: ISNT THERE A BETTER WAY TO GET YOUR MESSAGE ACROSS THAN DOING SOMETHING LIKE THIS ?,,,,,,,,,,0,0
Hostage Taker: SERIOUSLY <NAME> WE TRIED EVERYTHING THAT WE KNEW WE TRIED EVERYTHING WE WENT OUT TO,,,,,,,,,,0,0
Person: NOW WHAT WHAT DO YOU WANT WANT US TO DO NOW ?,,,,,,,,,,0,0
Hostage Taker: WELL I WHAT YOU HAVE HERE IS I WANT YOU TO PUT THIS OVER THE NEWS NATIONWIDE AND WHE,,,,,,,,,,0,0
Person: WHY IS IT NECESSARY TO BE SHOT TO DO SOMETHING LIKE THIS ?,,,,,,,,,,0,0
Hostage Taker: WELL YOU GOTTA BE DEAD YOU KNOW SEE WEVE CONQUERED THE WORLD WITHIN US WE ARE CONQUE,,,,,,,,,,0,0
Person: WHAT DO YOU WANT NOW YOU MENTIONED NOW YOUVE LET SEVEN PEOPLE GO NOW WHAT WHAT DO WE,,,,,,,,,,0,0
Hostage Taker: YOU GUYS JUST PUT THIS ON THE AIR YOU GUYS PUT US ON THE AIR AND WELL LET THESE GUYS,,,,,,,,,,0,0
Person: HOW MANY FOLLOWERS DO YOU HAVE THAT BELIEVE IN WHAT YOURE TALKING,,,,,,,,,,0,0
Hostage Taker: COUNTLESS COUNTLESS THERE WE FOR THREE AND A HALF YEARS NOW WEVE BEEN GOING AROUND L,,,,,,,,,,0,0
Person: YES ?,,,,,,,,,,0,0
Hostage Taker: THE MESSAGE IS THAT THE FATHERS NAME HAS BEEN GIVEN THROUGH THE LONG AWAITED MESSIAH,,,,,,,,,,0,0
Person: AND WHO IS THE MESSIAH ?,,,,,,,,,,0,0
Hostage Taker: <NAME> AT THE SAME TIME WE ARE ALL THE MESSIAH THAT IS THE IMPORTANT THING RIGHT PEO,,,,,,,,,,0,0
Person: SO YOU WILL IF IF WE AGREE TO PUT THIS ON THE AIR THEN YOULL LET EVERYBODY GO,,,1,,,,,,here's the deal,1,1
Hostage Taker: YES NATIONWIDE,,,,,,,,,,0,0
Person: WE SEND IT TO THE NATIONWIDE FOLKS,,,1,,,,,,here's the deal,1,1
Hostage Taker: YOU HAVE YOU HAVE THAT WITHIN YOUR POWER THEN DO THEY HAVE THE POWER TO REJECT YOU ?,,,,,,,,,,0,0
Person: UH I ASSUME THAT THEY MAY BUT THATS SOMETHING THAT UH YOU KNOW IF NORMALLY WHEN YOU,,,,,,,,,,0,0
Hostage Taker: ESPECIALLY ONE OF THIS CALIBER WE ARE VERY SERIOUS,,,,,,,,,,0,0
Person: THEYLL USE IT THEYLL USE IT THEYLL USE IT IS THERE ANYTHING ELSE YOU WANT US TO KNOW,,,,,,,,,,0,0
Hostage Taker: YEAH THE THING ABOUT THE MAN THAT CLAIMS TO BE THE MESSIAH THERE HAD TO BE ONE MAN T,,,,,,,,,,0,0
Person: AND IT WAS A VISION THAT MADE HIM REALIZE THAT HE IS THE MESSIAH ?,,,,,,,,,,0,0
Hostage Taker: YES THAT IS EXACTLY RIGHT BUT IT WAS A VISION THAT TOOK PLACE THIRTEEN YEARS AGO IT,,,,,,,,,,0,0
Person: AND YOUR NAME IS <NAME>,,,,,,,,,,0,0
Hostage Taker: <NAME>,,,,,,,,,,0,0
Person: <NAME>,,,,,,,,,,0,0
Hostage Taker: YEAH AND <NAME> <NAME>,,,,,,,,,,0,0
Person: AND <NAME> <NAME>,,,,,,,,,,0,0
Hostage Taker: RIGHT NEED A PEN ?,,,,,,,,,,0,0
Person: OKAY THINK IVE GOT ONE HERE SOME PLACE,,,,,,,,,,0,0
Hostage Taker: ITS SO SIMPLE ITS,,,,,,,,,,0,0
Person: H A,,,,,,,,,,0,0
Hostage Taker: PARDON ?,,,,,,,,,,0,0
Person: ARE YOU FOLKS FROM THIS AREA ?,,,,,,,,,,0,0
