,PERSUASION TAGS,,,,,,,,Total Persuasive,273,172
,,,,,,,,,,Persasive?,
POST,OTHER,RECIPROCITY,COMMITMENT,CONSITENCY,LIKING,SCARCITY,AUTHORITY,SOCIAL PROOF,Additional Comments,W/ Other,W/o Other
Hostage Taker: WELL WHO AM I TALKING TO ?,,,,,,,,,,0,0
Person: <NAME> <NAME>,,,,,,,,,,0,0
Hostage Taker: <NAME> <NAME>,,,,,,,,,,0,0
Person: YEAH OKAY WHAT,,,,,,,,,,0,0
Hostage Taker: WE WANNA KNOW WHO YOU ARE,,,,,,,,,,0,0
Person: OKAY IM DETECTIVE DOWN HERE,,,,,,,,,,0,0
Hostage Taker: YOU DETECTIVE,,,,,,,,,,0,0
Person: RIGHT IM ABOUT THE HIGHEST RANKING MAN RIGHT NOW THEYRE YOU KNOW THEYRE STILL TRYING TO FIND SOME MORE SUPERVISORS,,,,,,,1,,I can get you what you want,1,1
Hostage Taker: HES GOT THE HES RUNNING IT DOWNSTAIRS HE TRYING TO DO THIS HE SAY WITHOUT ANYBODY GETTING HURT,,,,,,,,,,0,0
Person: WELL THATS THATS WHAT I WANNA DO TOO I DONT WANT ANYBODY GET HURT YOU KNOW THAT,,,1,,,,,,don’t hurt anyone,1,1
Hostage Taker: RIGHT,,,,,,,,,,0,0
Person: NOW YOU KNOW THAT INCLUDES EVERYBODY OUR JAILERS AND YOU PEOPLE TOO WE DONT WANNA ANYBODY HURT WHERE ARE THE JAILERS NOW ?,,,1,,,,,,don’t hurt anyone,1,1
Hostage Taker: LOCKED UP OVER YOU KNOW SOME PART OF THE JAIL I DONT EVEN KNOW WHERE THEY LOCKED UP BUT THEY SUPPOSEDLY LOCKED UP AT THE THEY CAN GET TO THEM ANY TIME THEY WANT TO THEM TO DO THEM BODILY HARM THEY SAY IF THEY DONT GET WHAT THEY WANT THEYRE TRYING TO CALL TODAY TO ADVERTISING THE NEWSPAPER AND EVERYBODY,,,,,,,,,,0,0
Person: WELL YOU KNOW THEY PICKED THE WRONG TIME ITS FOUR OCLOCK IN THE MORNING THEYRE NOT GONNA GET ANYBODY THATS YOU KNOW THATS THE TROUBLE DOWN HERE IM THE HIGHEST RANKING MAN TOO YOU KNOW YOURE DOING IT TO YOURE DOING THIS STUFF AT FOUR OCLOCK IN THE MORNING,1,,,,,,,,reason,1,0
Hostage Taker: YEAH,,,,,,,,,,0,0
Person: AND I LIKE TO WORK WHAT ID LIKE TO WORK ON SOME OF THESE DEMANDS SOME OF THESE THINGS SOUND LEGITIMATE YOU KNOW,1,,,,,,,,you have some good points,1,0
Hostage Taker: IS IT IS IT IS THERE ANYWAY THAT THEY COULD TALK TO THE LIKE I SAY MAN I REALLY TRULY I WANT KNOW WHATS GOING ON I GOTTA LITTLE EDUCATION THEY WANT ME TO SPEAK FOR THEM BUT IS THERE ANYWAY THAT THEY COULD TALK TO THE WARDEN IS HE ANYWHERE IN THE VICINITY ?,,,1,,,,,,let me talk to the warden,1,1
Person: YEAH WE COULD WE CAN GET HIM TO TAKE ITD TAKE A LITTLE WHILE TO GET HIM DOWN HERE WHAT CAN YOU TELL ME SOME OF THE THINGS THAT I COULD TALK LISTEN TO,,,,,,,,,,0,0
Hostage Taker: OH YOU KNOW ME DONT YOU ?,,,,,,,,,,0,0
Person: YEAH,,,,,,,,,,0,0
Hostage Taker: OKAY WELL I CAN REMEMBER TO ASK REMEMBER I GOT THE NIGHTS I PULLED THAT GUN WITH OFFICER <NAME> YOU KNOW I ESCAPED WHEN I FINALLY DID ESCAPE YOU KNOW I WENT TO <PLACE> I GOT WELDERS CERTIFICATE I KNOW THAT DONT MEAN A DAMN TO YOU ID A CHANGED COMPLETELY SCRUPULOUS AND LAWS AND EVERYTHING IM TRYING TO DO THIS TO THE BEST OF MY ABILITY I COULD BE IN THE BULL PEN JUST LIKE EVERYBODY ELSE AND SEE THEY DONT GIVE A FUCK,,,,,,,,,,0,0
Person: YEAH WELL APPRECIATE THAT,,,,,1,,,,compliment,1,1
Hostage Taker: I MEAN LIKE I SAY I CAN TAKE A CHANCE IN ANY OF THE AND FIND OUT WHERE THEY ARE AND THOSE SEE I GOTTA KNOW ABOUT MY PROTECTION BY THE TIME YOU GET UP HERE I MIGHT BE DEAD,,,,,,,,,,0,0
Person: RIGHT WELL NOBODYS GONNA HURT YOU FROM DOWN HERE I CAN ASSURE YOU THAT WHAT ARE SOME OF THESE DEMANDS AGAIN ?,1,,,,,,,,reason,1,0
Hostage Taker: THEY THEY THEY WANT THE BEDDING CHANGED THEY WANT THE VISITING HOURS CHANGED THEY WANT THE MEDICAL CARE UP HERE THE FOOD I KNOW IM TALKING FAST THE WAY THE JAILERS ARE TREATING THEM IN GENERAL THEY SAY THE WAY THE GET TALKED TO UP HERE THE LEGAL SERVICES THAT THEY HAVE THEY SAY THE LAWYERS THAT WE GET DOWN HERE WORKING REALLY FOR THE STATE YOU KNOW TO SELL US OUT,,,,,,,,,,0,0
Person: MHM,,,,,,,,,,0,0
Hostage Taker: SELL SELL YOUR LIVES SHIT BUT NEVER STOPING TO THINK THERE NOBODY TELL US TO PUT NO GUN IN OUR HAND AND GO ROB OR WHATEVER WE DONE ITS JUST NOT JUSTIFIED,,,,,,,,,,0,0
Person: RIGHT A LOT OF THESE THINGS CAN BE WORKED OUT NOW YOU PICKED KIND OF THE WRONG WAY TO GO DO IT MAYBE YOU SHOULD HAVE GOT A LITTLE COMMITTEE AND YOU KNOW PRESENTED THESE THESE THINGS IN A MORE POSITIVE WAY,,,,,,,,,,0,0
Hostage Taker: YEAH,,,,,,,,,,0,0
Person: A LOT OF THESE THINGS COULD BE WORKED OUT,,,,,,,,,,0,0
Hostage Taker: I UNDERSTAND,,,,,,,,,,0,0
Person: I I I THINK THAT YOU SHOW A LITTLE GOOD FAITH AND MAYBE LET THEM JAILERS COME ON DOWN AND THEN WE CAN SIT DOWN AND TALK,,,1,,,,,,let the jailers go,1,1
Hostage Taker: YES REALLY ITS OUT OF MY HANDS,,,,,,,1,,have to check with the bosses,1,1
Person: WELL CAN YOU TALK TO WHOEVER YOU KNOW GONNA MAKE THAT DECISION,,,1,,,,,,can you check for me?,1,1
Hostage Taker: HES CRAZY MAN I MEAN ITS LIKE YOU KNOW HES ALL COMPLAINING,,,,,,,,,,0,0
Person: WELL IF IF HES IF HES THAT CRAZY THEN HOW ARE GONNA BE ABLE TO SIT DOWN AND NEGOTIATE SOME OF THESE THINGS,,,,,,,,,,0,0
Hostage Taker: THATS WHERE I COME IN THATS WHY THEY PULLED ME OUT,,,,,,,,,,0,0
Person: WELL CAN YOU TALK TO THEM TELL THEM YOU KNOW WE ARE WILLING TO TALK AND LISTEN TO THEM YOU KNOW SHOW A LITTLE GOOD FAITH AND SEND THE JAILERS DOWN HERE SO WE COULD START TALKING AND AND FIND OUT EXACTLY WHATS GOING ON,,,1,,,,,,let the jailers go,1,1
Hostage Taker: ALRIGHT HOLD ON LET ME GO CALL HIM HOLD ON A SECOND,,,,,,,,,,0,0
Person: WHOM I TALKING TO ?,,,,,,,,,,0,0
Hostage Taker: WHY DONT YOU TALK TO ME ?,,,,,,,,,,0,0
Person: WHO ?,,,,,,,,,,0,0
Hostage Taker: <NAME>,,,,,,,,,,0,0
Person: <NAME> ?,,,,,,,,,,0,0
Hostage Taker: YEAH,,,,,,,,,,0,0
Person: YEAH AGAIN,,,,,,,,,,0,0
Hostage Taker: OKAY,,,,,,,,,,0,0
Person: LOOK I WAS TALKING TO <NAME> AND I I KIND OF AGREE WITH HIM HES HES GOTTA LOT OF YOU ALL GOT A LOT OF LEGITIMATE GRIPES UP THERE AND HE SAID THEYLL WANNA TALK TO THE WARDEN AND IVE ALREADY SENT FOR HIM BUT THEY TOLD ME HE LIVES WAY WAY OUT PAST,1,,,,,,,,good points; reason,1,0
Hostage Taker: WHAT I THOUGHT ABOUT ?,,,,,,,,,,0,0
Person: UH HUH,,,,,,,,,,0,0
Hostage Taker: YOU SAID IM GONNA SHOW HIM YEAH HE SAID GET A HOLD OF HIM,,,,,,,,,,0,0
Person: WE CANT FIND HIM HE HE MOVED DOWN THE COUNTRY DONT HAVE A PHONE AND WENT BY HIS HOUSE AND EVIDENTIAL HES GONE TO A NEW YEARS PARTY HE HASNT COME BACK YET HUH ?,1,,,,,,,,reason why they can’t talk to the warden right now,1,0
Hostage Taker: OKAY WHAT HAPPENS DID <NAME> TOLD YOU WHAT HAPPENED ?,,,,,,,,,,0,0
Person: YEAH,,,,,,,,,,0,0
Hostage Taker: YOU KNOW WHATS HAPPENING ?,,,,,,,,,,0,0
Person: RIGHT,,,,,,,,,,0,0
Hostage Taker: OKAY SO NOW WHAT WHATS THE PLEA ?,,,,,,,,,,0,0
Person: OKAY HE SAID THAT YOU ALL WANTED TO <NAME> NOW I SENT FOR HIM,,,,,,,,,,0,0
Hostage Taker: YEAH,,,,,,,,,,0,0
Person: AND THEY YOU KNOW THEY CALLED ON THE RADIO THEY SAID THEY GOT THEM IN A UNIT AND THEY RUSHING THEM OVER HERE LIKE I SAY HE LIVES ABOUT RIGHT ON THE EDGE OF THE PARISH,,,,,,,,,,0,0
Hostage Taker: IN OTHER WORDS THEYRE STALLING,,,,,,,,,,0,0
Person: NO YOU YOU GOT ME TO TALK TO <NAME> YOU GOT ME TO TALK TO IN THE MEANTIME,,,,,,,,,,0,0
Hostage Taker: ILL BE HERE ALL DAY,,,,,,,,,,0,0
