,PERSUASION TAGS,,,,,,,,Total Persuasive,307,177
,,,,,,,,,,Persasive?,
Post,OTHER,RECIPROCITY,COMMITMENT,CONSITENCY,LIKING,SCARCITY,AUTHORITY,SOCIAL PROOF,Additional Comments,W/ Other,W/o Other
0001 PN60: I'm not gonna hurt ya. We oughta handle this thing. Why don'tyou think about what he said.,,,,,,,,,,0,0
0002 HT01: Well I tell him I was gonna turn it i--turn it over when I got got ready.,,,,,,,,,,0,0
0003 PN60: Got ready huh.,,,,,,,,,,0,0
0004 HT01: I just ain't ready to get locked up yet.,,,,,,,,,,0,0
0005 PN60: Hmm.,,,,,,,,,,0,0
"0006 PN60: We never are, are we?",,,,,,,,,,0,0
"0007 HT01: Huh, uh.",,,,,,,,,,0,0
0008 PN60: But tah,,,,,,,,,,0,0
0009 HT01: Why why don't you roll me up a couple of joints got out of that dope you got off my old lady and send `em over.,,,,,,,,,,0,0
0010 PN60: Roll up a couple what? Joints? What does she have some marijuana?,,,,,,,,,,0,0
"0011 HT01: Ya, she did have you'all took it away from her.",,,,,,,,,,0,0
0012 PN60: Did she?,,,,,,,,,,0,0
"0013 HT01: Hell, I don't even know if I--got that. Must have been some.",,,,,,,,,,0,0
"0014 PN60: No wait, the deputy that arrested them must have that.",,,,,,,,,,0,0
"0015 HT01: Well, don't let him smoke it cause it's some good stuff.",,,,,,,,,,0,0
0016 PN60: It is huh?,,,,,,,,,,0,0
0017 HT01: Uh huh.,,,,,,,,,,0,0
0018 PN60: Mmmm.,,,,,,,,,,0,0
0019 HT01: [Laughs],,,,,,,,,,0,0
"0020 PN60: Well, anyway.",,,,,,,,,,0,0
"0021 HT01: I'll come out when I get ready. I'm just sitting here, we're having a little bullshit session.",,,,,,,,,,0,0
"0022 PN60: Well, <ON80> is over here now.",,,,,,,,,,0,0
"0023 HT01: Ya, is she?",,,,,,,,,,0,0
0024 PN60: Ya. You want to talk to her?,,,,,,,,,,0,0
"0025 HT01: Ya, let me talk to her, see what she's doing.",,,,,,,,,,0,0
0026 PN60: ng'K,,,,,,,,,,0,0
