,PERSUASION TAGS,,,,,,,,Total Persuasive,141,77
,,,,,,,,,,Persasive?,
Posts,OTHER,RECIPROCITY,COMMITMENT,CONSITENCY,LIKING,SCARCITY,AUTHORITY,SOCIAL PROOF,Additional Comments,W/ Other,W/o Other
911 DISPATCHER: 911 emergency. ,,,,,,,,,,0,0
GRANT: Yeah. I suppose you are in front of my house right now. ,,,,,,,,,,0,0
911 DISPATCHER: What's your name sir? ,,,,,,,,,,0,0
GRANT: Grant. ,,,,,,,,,,0,0
911 DISPATCHER: Grant? ,,,,,,,,,,0,0
GRANT: Yes. ,,,,,,,,,,0,0
"911 DISPATCHER: Okay, Grant. What's the problem there today? What's going on Grant? ",,,,,,,,,,0,0
GRANT: I don't know. I don't really want to talk about anything. (?) told me to call you. I don't want to hurt anybody else. I just -- ,,,,,,,,,,0,0
911 DISPATCHER: Talk to me Grant. ,,,,,,,,,,0,0
GRANT: I don't know. ,,,,,,,,,,0,0
"911 DISPATCHER: Grant, my name is Heather. Okay? ",,,,,,,,,,0,0
GRANT: Okay. ,,,,,,,,,,0,0
"911 DISPATCHER: And I'm here to help you, okay? Nobody's going to hurt you. We're just here to help you. ",,,,,,,,,,0,0
GRANT: (?) ,,,,,,,,,,0,0
"911 DISPATCHER: Okay, Grant. There's a lot of people outside that care about you and don't want to hurt you. Okay? ",,,,,,,,,,0,0
GRANT: Who's outside? ,,,,,,,,,,0,0
911 DISPATCHER: Grant? ,,,,,,,,,,0,0
GRANT: Who's outside? ,,,,,,,,,,0,0
"911 DISPATCHER: The police officers are outside. But I want -- Grant, I promise you nobody is there to hurt you, but can you listen to me for a second? ",1,,,,,,,,justification for the future commitment in the next post,1,0
GRANT: Listening. ,,,,,,,,,,0,0
"911 DISPATCHER: Okay. Can you go to the front door with nothing, no guns, put your hands up in the air and follow the officer’s commands? ",,,1,,,,,,come outside,1,1
GRANT: No. ,,,,,,,,,,0,0
911 DISPATCHER: Why not? ,,,,,,,,,,0,0
GRANT: Because -- ,,,,,,,,,,0,0
911 DISPATCHER: Why? ,,,,,,,,,,0,0
GRANT: Because I don’t need to. ,,,,,,,,,,0,0
"911 DISPATCHER: Okay, where is the gun right now? ",,,,,,,,,,0,0
GRANT: It’s in my hand against my chest. ,,,,,,,,,,0,0
911 DISPATCHER: Okay. We don't want to hurt you and I don't want you to hurt yourself. Okay? Grant? ,1,,,,,,,,justifications (justifications for putting the gun down and coming outside),1,0
GRANT: Yeah. ,,,,,,,,,,0,0
911 DISPATCHER: We want to help you. ,1,,,,,,,,justifications (justifications for putting the gun down and coming outside),1,0
GRANT: How are you going to help me? ,,,,,,,,,,0,0
911 DISPATCHER: We are going to get you some help. ,1,,,,,,,,justifications (justifications for putting the gun down and coming outside),1,0
GRANT: How is that? ,,,,,,,,,,0,0
911 DISPATCHER: We have a lot of people that are willing to help you. Can you tell us what you need and we will help you. Will you please go to the front door without the gun? ,,,1,,,,,,"2 commitments: if you tell us what you need, we will help you; and will you come out",1,1
GRANT: No. ,,,,,,,,,,0,0
911 DISPATCHER: Is there anything that you want? Grant? ,,,,,,,,,,0,0
"GRANT: Yeah, I want my girlfriend back. ",,,,,,,,,,0,0
911 DISPATCHER: What's the girlfriend's name? ,,,,,,,,,,0,0
GRANT: (?). ,,,,,,,,,,0,0
